"Metabolite","HardCluster","Cluster_1","Cluster_2","6M","2Y"
"N-Phenylacetylglycine",2,0.499984289189142,0.500015710810858,178899536916.27,382877743197.103
"4-Hydroxyphenylacetate",2,0.499984289189142,0.500015710810858,99763384003.9879,99904119010.7914
"3-Methyl-2-oxovalerate",2,0.499984289189142,0.500015710810858,51534455029.7954,105837866986.976
"Acetylsalicylate",2,0.499984289189142,0.500015710810858,174710535433.56,395768315016.186
"1-Methylnicotinamide",1,0.500002909409459,0.499997090590541,35884288409.9664,18777766099.6383
"Creatine",2,0.499984289189142,0.500015710810858,734937400251.784,2348439534456.68
"Hippurate",2,0.499984289189142,0.500015710810858,89977610658.3696,322497843105.652
"2-Hydroxyisobutyrate",2,0.499984289189142,0.500015710810858,104517783512.387,171699597481.088
"N,N-Dimethylglycine",1,0.500002909409459,0.499997090590541,162729196389.103,140768104879.129
"Trigonelline",2,0.499984289189142,0.500015710810858,7008802341.16378,11971745662.6301
"Tyrosine",2,0.499984289189142,0.500015710810858,67328573083.9463,67389005968.9554
"Valine",2,0.499984289189142,0.500015710810858,8980625940.39733,13001506535.8936
"Sucrose",1,0.500002909409459,0.499997090590541,17886267331.8823,3890019711.41147
"trans-Aconitate",1,0.500002909409459,0.499997090590541,22022994860.5865,4361518523.92339
"Glutamine",2,0.499984289189142,0.500015710810858,369342477568.949,435023760259.899
"Succinate",2,0.499984289189142,0.500015710810858,232114764673.002,294775572583.81
"Taurine",2,0.499984289189142,0.500015710810858,404948694574.239,495742504960.708
"Gluconate",2,0.499984289189142,0.500015710810858,115219693646.394,118586366389.605
"Glycine",2,0.499984289189142,0.500015710810858,260114582153.434,326517183825.474
"N6-Acetyllysine",2,0.499984289189142,0.500015710810858,53238215170.9452,83502294004.8281
"Formate",2,0.499984289189142,0.500015710810858,56551005713.8277,58444728989.0369
"Alanine",2,0.499984289189142,0.500015710810858,143751879993.183,186572517030.426
"Lactate",2,0.499984289189142,0.500015710810858,119537814709.433,144207601208.936
"3-Hydroxyisobutyrate",2,0.499984289189142,0.500015710810858,64807238008.389,117514780478.23
"N-Acetylaspartate",2,0.499984289189142,0.500015710810858,137163488508.626,180660069446.446
"Acetate",2,0.499984289189142,0.500015710810858,186129799653.901,219684780934.652
"2-Methylglutarate",2,0.499984289189142,0.500015710810858,7882099319.9846,14511813393.7093
"Trimethylamine",2,0.499984289189142,0.500015710810858,38918490742.6962,70010222927.4552
"Citrate",1,0.500002909409459,0.499997090590541,649378292593.842,579253161238.518
"Lysine",2,0.499984289189142,0.500015710810858,334743515788.752,527598803757.336
"Methylguanidine",2,0.499984289189142,0.500015710810858,112144012842.615,191446451258.978
"2-Aminobutyrate",2,0.499984289189142,0.500015710810858,49118062559.1505,59045047902.5903
