"Metabolite","HardCluster","Cluster_1","Cluster_2","Cluster_3","GA_6M","GA_2Y","BPD_6M","BPD_2Y"
"N-Phenylacetylglycine",2,5.98872735509776e-08,0.58678355421469,0.413216385898037,178899536916.27,382877743197.103,178899536916.27,382877743197.103
"4-Hydroxyphenylacetate",2,5.41838094864667e-08,0.617454753864858,0.382545191951332,99763384003.9879,99904119010.7914,99763384003.9879,99904119010.7914
"3-Methyl-2-oxovalerate",2,7.06645112991187e-08,0.535561254323376,0.464438675012112,51534455029.7954,105837866986.976,51534455029.7954,105837866986.976
"Acetylsalicylate",2,5.14923051110404e-08,0.58678355914072,0.413216389366975,174710535433.56,395768315016.186,174710535433.56,395768315016.186
"1-Methylnicotinamide",1,0.999999785709713,1.07145143519192e-07,1.07145143519192e-07,35884288409.9664,18777766099.6383,35884288409.9664,18777766099.6383
"Creatine",2,5.41838094864667e-08,0.617454753864858,0.382545191951332,734937400251.784,2348439534456.68,734937400251.784,2348439534456.68
"Hippurate",2,0,1,0,89977610658.3696,322497843105.652,89977610658.3696,322497843105.652
"2-Hydroxyisobutyrate",2,6.87694676494048e-08,0.55186247847124,0.448137452759293,104517783512.387,171699597481.088,104517783512.387,171699597481.088
"N,N-Dimethylglycine",1,0.99999953158213,2.3420893483356e-07,2.3420893483356e-07,162729196389.103,140768104879.129,162729196389.103,140768104879.129
"Trigonelline",2,6.06731646638115e-08,0.566270664906746,0.433729274420089,7008802341.16378,11971745662.6301,7008802341.16378,11971745662.6301
"Tyrosine",2,0,1,0,67328573083.9463,67389005968.9554,67328573083.9463,67389005968.9554
"Valine",2,8.3060952990481e-08,0.528541396334473,0.471458520604574,8980625940.39733,13001506535.8936,8980625940.39733,13001506535.8936
"Sucrose",1,0.999999785709713,1.07145143519192e-07,1.07145143519192e-07,17886267331.8823,3890019711.41147,17886267331.8823,3890019711.41147
"trans-Aconitate",1,0.999999785709713,1.07145143519192e-07,1.07145143519192e-07,22022994860.5865,4361518523.92339,22022994860.5865,4361518523.92339
"Glutamine",2,5.41838094864667e-08,0.617454753864858,0.382545191951332,369342477568.949,435023760259.899,369342477568.949,435023760259.899
"Succinate",2,8.47626235097577e-08,0.520995853116646,0.479004062120731,232114764673.002,294775572583.81,232114764673.002,294775572583.81
"Taurine",2,8.99085193107446e-08,0.508084155325243,0.491915754766238,404948694574.239,495742504960.708,404948694574.239,495742504960.708
"Gluconate",2,5.41838094864667e-08,0.617454753864858,0.382545191951332,115219693646.394,118586366389.605,115219693646.394,118586366389.605
"Glycine",2,7.73051877870668e-08,0.508084161728797,0.491915760966015,260114582153.434,326517183825.474,260114582153.434,326517183825.474
"N6-Acetyllysine",2,0,1,0,53238215170.9452,83502294004.8281,53238215170.9452,83502294004.8281
"Formate",2,1.97462589348523e-07,0.500328218488839,0.499671584048572,56551005713.8277,58444728989.0369,56551005713.8277,58444728989.0369
"Alanine",2,5.41838094864667e-08,0.617454753864858,0.382545191951332,143751879993.183,186572517030.426,143751879993.183,186572517030.426
"Lactate",2,8.71029046628004e-08,0.513980649325309,0.486019263571787,119537814709.433,144207601208.936,119537814709.433,144207601208.936
"3-Hydroxyisobutyrate",2,6.06731646638115e-08,0.566270664906746,0.433729274420089,64807238008.389,117514780478.23,64807238008.389,117514780478.23
"N-Acetylaspartate",2,7.06645112991187e-08,0.535561254323376,0.464438675012112,137163488508.626,180660069446.446,137163488508.626,180660069446.446
"Acetate",2,0,1,0,186129799653.901,219684780934.652,186129799653.901,219684780934.652
"2-Methylglutarate",2,5.98872735509776e-08,0.58678355421469,0.413216385898037,7882099319.9846,14511813393.7093,7882099319.9846,14511813393.7093
"Trimethylamine",2,4.38767430082147e-08,0.499999978061629,0.499999978061629,38918490742.6962,70010222927.4552,38918490742.6962,70010222927.4552
"Citrate",1,0.999999785709713,1.07145143519192e-07,1.07145143519192e-07,649378292593.842,579253161238.518,649378292593.842,579253161238.518
"Lysine",2,7.06645112991187e-08,0.535561254323376,0.464438675012112,334743515788.752,527598803757.336,334743515788.752,527598803757.336
"Methylguanidine",2,6.06731646638115e-08,0.566270664906746,0.433729274420089,112144012842.615,191446451258.978,112144012842.615,191446451258.978
"2-Aminobutyrate",2,5.41838094864667e-08,0.617454753864858,0.382545191951332,49118062559.1505,59045047902.5903,49118062559.1505,59045047902.5903
